PC Pair,k,DBI
PC6-PC8,9,0.8019024993485445
PC6-PC8,10,0.8550572350037552
PC6-PC9,3,0.7636872524796842
PC6-PC9,4,0.8757642323282963
PC6-PC9,5,0.8598878985546783
PC6-PC9,6,0.8834405617550624
PC6-PC9,7,0.8663676249403915
PC6-PC9,8,0.9110564725550316
PC6-PC9,9,0.9105273218470342
PC6-PC9,10,0.8456239125086403
PC6-PC10,3,0.71718578312794
PC6-PC10,4,0.8755035607115945
PC6-PC10,5,0.8758189455974529
PC6-PC10,6,0.9633830336807355
PC6-PC10,7,0.9223921034972328
PC6-PC10,8,0.8561298717485162
PC6-PC10,9,0.8764982744400464
PC6-PC10,10,0.851512319691965
PC7-PC8,3,1.0694559744589587
PC7-PC8,4,0.9614170445453255
PC7-PC8,5,0.7884974766658784
PC7-PC8,6,0.7789473392029747
PC7-PC8,7,0.7982014221521865
PC7-PC8,8,0.7982300103254332
PC7-PC8,9,0.7570284308199448
PC7-PC8,10,0.815904010290453
PC7-PC9,3,0.8064363671220485
PC7-PC9,4,0.9275455137039048
PC7-PC9,5,0.8167177576536518
PC7-PC9,6,0.7761229411578848
PC7-PC9,7,0.7690888978306069
PC7-PC9,8,0.7787908991939088
PC7-PC9,9,0.8097810184822813
PC7-PC9,10,0.7870535131353764
PC7-PC10,3,0.8041348558404667
PC7-PC10,4,0.7008467499563538
